Stazione, Cremona - Via Fatebenefratelli
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2018/01/01,-999
2018/01/02,32
2018/01/03,41
2018/01/04,45
2018/01/05,47
2018/01/06,48
2018/01/07,35
2018/01/08,37
2018/01/09,27
2018/01/10,35
2018/01/11,40
2018/01/12,45
2018/01/13,52
2018/01/14,49
2018/01/15,60
2018/01/16,71
2018/01/17,33
2018/01/18,27
2018/01/19,55
2018/01/20,69
2018/01/21,43
2018/01/22,46
2018/01/23,65
2018/01/24,68
2018/01/25,83
2018/01/26,97
2018/01/27,51
2018/01/28,39
2018/01/29,37
2018/01/30,29
2018/01/31,45
2018/02/01,45
2018/02/02,27
2018/02/03,19
2018/02/04,26
2018/02/05,28
2018/02/06,27
2018/02/07,36
2018/02/08,43
2018/02/09,35
2018/02/10,55
2018/02/11,57
2018/02/12,35
2018/02/13,23
2018/02/14,46
2018/02/15,59
2018/02/16,70
2018/02/17,84
2018/02/18,38
2018/02/19,31
2018/02/20,41
2018/02/21,37
2018/02/22,23
2018/02/23,23
2018/02/24,29
2018/02/25,26
2018/02/26,24
2018/02/27,36
2018/02/28,44
2018/03/01,68
2018/03/02,72
2018/03/03,65
2018/03/04,44
2018/03/05,56
2018/03/06,53
2018/03/07,-999
2018/03/08,-999
2018/03/09,49
2018/03/10,41
2018/03/11,27
2018/03/12,29
2018/03/13,48
2018/03/14,35
2018/03/15,27
2018/03/16,21
2018/03/17,22
2018/03/18,8
2018/03/19,11
2018/03/20,30
2018/03/21,30
2018/03/22,32
2018/03/23,38
2018/03/24,25
2018/03/25,30
2018/03/26,55
2018/03/27,56
2018/03/28,47
2018/03/29,49
2018/03/30,42
2018/03/31,15
2018/04/01,13
2018/04/02,18
2018/04/03,38
2018/04/04,22
2018/04/05,33
2018/04/06,51
2018/04/07,37
2018/04/08,24
2018/04/09,21
2018/04/10,24
2018/04/11,24
2018/04/12,22
2018/04/13,22
2018/04/14,27
2018/04/15,34
2018/04/16,35
2018/04/17,53
2018/04/18,33
2018/04/19,32
2018/04/20,27
2018/04/21,40
2018/04/22,25
2018/04/23,40
2018/04/24,42
2018/04/25,30
2018/04/26,36
2018/04/27,27
2018/04/28,34
2018/04/29,33
2018/04/30,11
2018/05/01,11
2018/05/02,13
2018/05/03,23
2018/05/04,26
2018/05/05,35
2018/05/06,34
2018/05/07,28
2018/05/08,27
2018/05/09,26
2018/05/10,17
2018/05/11,31
2018/05/12,26
2018/05/13,18
2018/05/14,15
2018/05/15,8
2018/05/16,23
2018/05/17,18
2018/05/18,26
2018/05/19,21
2018/05/20,15
2018/05/21,23
2018/05/22,20
2018/05/23,21
2018/05/24,30
2018/05/25,29
2018/05/26,42
2018/05/27,42
2018/05/28,37
2018/05/29,34
2018/05/30,46
2018/05/31,39
2018/06/01,32
2018/06/02,16
2018/06/03,27
2018/06/04,26
2018/06/05,20
2018/06/06,24
2018/06/07,22
2018/06/08,14
2018/06/09,15
2018/06/10,12
2018/06/11,40
2018/06/12,32
2018/06/13,29
2018/06/14,6
2018/06/15,16
2018/06/16,22
2018/06/17,24
2018/06/18,18
2018/06/19,20
2018/06/20,23
2018/06/21,25
2018/06/22,15
2018/06/23,13
2018/06/24,13
2018/06/25,13
2018/06/26,9
2018/06/27,18
2018/06/28,15
2018/06/29,22
2018/06/30,18
2018/07/01,21
2018/07/02,23
2018/07/03,31
2018/07/04,19
2018/07/05,14
2018/07/06,20
2018/07/07,17
2018/07/08,15
2018/07/09,14
2018/07/10,22
2018/07/11,17
2018/07/12,29
2018/07/13,30
2018/07/14,36
2018/07/15,20
2018/07/16,16
2018/07/17,26
2018/07/18,29
2018/07/19,25
2018/07/20,30
2018/07/21,14
2018/07/22,15
2018/07/23,13
2018/07/24,15
2018/07/25,19
2018/07/26,31
2018/07/27,24
2018/07/28,26
2018/07/29,21
2018/07/30,29
2018/07/31,37
2018/08/01,38
2018/08/02,25
2018/08/03,22
2018/08/04,24
2018/08/05,25
2018/08/06,30
2018/08/07,22
2018/08/08,28
2018/08/09,34
2018/08/10,22
2018/08/11,24
2018/08/12,22
2018/08/13,26
2018/08/14,24
2018/08/15,-999
2018/08/16,14
2018/08/17,21
2018/08/18,25
2018/08/19,28
2018/08/20,27
2018/08/21,28
2018/08/22,33
2018/08/23,39
2018/08/24,27
2018/08/25,17
2018/08/26,4
2018/08/27,12
2018/08/28,28
2018/08/29,26
2018/08/30,31
2018/08/31,24
2018/09/01,11
2018/09/02,9
2018/09/03,13
2018/09/04,17
2018/09/05,21
2018/09/06,36
2018/09/07,26
2018/09/08,26
2018/09/09,30
2018/09/10,41
2018/09/11,51
2018/09/12,59
2018/09/13,60
2018/09/14,35
2018/09/15,32
2018/09/16,37
2018/09/17,42
2018/09/18,34
2018/09/19,47
2018/09/20,49
2018/09/21,54
2018/09/22,36
2018/09/23,28
2018/09/24,23
2018/09/25,15
2018/09/26,25
2018/09/27,42
2018/09/28,53
2018/09/29,40
2018/09/30,21
2018/10/01,23
2018/10/02,21
2018/10/03,31
2018/10/04,38
2018/10/05,34
2018/10/06,31
2018/10/07,39
2018/10/08,40
2018/10/09,41
2018/10/10,51
2018/10/11,42
2018/10/12,49
2018/10/13,52
2018/10/14,50
2018/10/15,53
2018/10/16,46
2018/10/17,53
2018/10/18,51
2018/10/19,57
2018/10/20,65
2018/10/21,48
2018/10/22,18
2018/10/23,33
2018/10/24,34
2018/10/25,56
2018/10/26,36
2018/10/27,23
2018/10/28,13
2018/10/29,15
2018/10/30,7
2018/10/31,18
2018/11/01,18
2018/11/02,24
2018/11/03,24
2018/11/04,22
2018/11/05,18
2018/11/06,24
2018/11/07,28
2018/11/08,23
2018/11/09,42
2018/11/10,41
2018/11/11,35
2018/11/12,38
2018/11/13,30
2018/11/14,39
2018/11/15,41
2018/11/16,34
2018/11/17,23
2018/11/18,26
2018/11/19,32
2018/11/20,21
2018/11/21,32
2018/11/22,42
2018/11/23,48
2018/11/24,22
2018/11/25,30
2018/11/26,37
2018/11/27,45
2018/11/28,46
2018/11/29,42
2018/11/30,53
2018/12/01,76
2018/12/02,73
2018/12/03,78
2018/12/04,83
2018/12/05,70
2018/12/06,73
2018/12/07,59
2018/12/08,32
2018/12/09,36
2018/12/10,7
2018/12/11,29
2018/12/12,43
2018/12/13,49
2018/12/14,51
2018/12/15,67
2018/12/16,81
2018/12/17,66
2018/12/18,55
2018/12/19,63
2018/12/20,39
2018/12/21,48
2018/12/22,48
2018/12/23,43
2018/12/24,25
2018/12/25,23
2018/12/26,36
2018/12/27,53
2018/12/28,71
2018/12/29,78
2018/12/30,73
2018/12/31,69
