Stazione, Lecco - Via Sora
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2018/01/01,39
2018/01/02,14
2018/01/03,13
2018/01/04,10
2018/01/05,33
2018/01/06,27
2018/01/07,31
2018/01/08,27
2018/01/09,16
2018/01/10,18
2018/01/11,27
2018/01/12,26
2018/01/13,25
2018/01/14,33
2018/01/15,58
2018/01/16,57
2018/01/17,21
2018/01/18,15
2018/01/19,18
2018/01/20,21
2018/01/21,4
2018/01/22,19
2018/01/23,55
2018/01/24,61
2018/01/25,-999
2018/01/26,76
2018/01/27,29
2018/01/28,31
2018/01/29,37
2018/01/30,45
2018/01/31,64
2018/02/01,30
2018/02/02,14
2018/02/03,23
2018/02/04,16
2018/02/05,22
2018/02/06,23
2018/02/07,33
2018/02/08,50
2018/02/09,30
2018/02/10,23
2018/02/11,34
2018/02/12,42
2018/02/13,16
2018/02/14,26
2018/02/15,47
2018/02/16,59
2018/02/17,99
2018/02/18,63
2018/02/19,34
2018/02/20,48
2018/02/21,42
2018/02/22,54
2018/02/23,39
2018/02/24,38
2018/02/25,23
2018/02/26,28
2018/02/27,30
2018/02/28,53
2018/03/01,68
2018/03/02,62
2018/03/03,37
2018/03/04,38
2018/03/05,52
2018/03/06,60
2018/03/07,25
2018/03/08,21
2018/03/09,37
2018/03/10,28
2018/03/11,23
2018/03/12,16
2018/03/13,37
2018/03/14,27
2018/03/15,16
2018/03/16,14
2018/03/17,14
2018/03/18,7
2018/03/19,11
2018/03/20,28
2018/03/21,35
2018/03/22,-999
2018/03/23,56
2018/03/24,47
2018/03/25,29
2018/03/26,47
2018/03/27,29
2018/03/28,-999
2018/03/29,42
2018/03/30,16
2018/03/31,11
2018/04/01,2
2018/04/02,11
2018/04/03,17
2018/04/04,13
2018/04/05,15
2018/04/06,27
2018/04/07,45
2018/04/08,35
2018/04/09,22
2018/04/10,10
2018/04/11,9
2018/04/12,3
2018/04/13,5
2018/04/14,12
2018/04/15,15
2018/04/16,23
2018/04/17,34
2018/04/18,34
2018/04/19,33
2018/04/20,33
2018/04/21,31
2018/04/22,27
2018/04/23,29
2018/04/24,33
2018/04/25,32
2018/04/26,36
2018/04/27,30
2018/04/28,-999
2018/04/29,21
2018/04/30,10
2018/05/01,11
2018/05/02,7
2018/05/03,-999
2018/05/04,-999
2018/05/05,21
2018/05/06,21
2018/05/07,16
2018/05/08,18
2018/05/09,11
2018/05/10,10
2018/05/11,11
2018/05/12,12
2018/05/13,11
2018/05/14,6
2018/05/15,13
2018/05/16,15
2018/05/17,9
2018/05/18,13
2018/05/19,9
2018/05/20,7
2018/05/21,10
2018/05/22,16
2018/05/23,13
2018/05/24,17
2018/05/25,18
2018/05/26,22
2018/05/27,23
2018/05/28,6
2018/05/29,13
2018/05/30,22
2018/05/31,21
2018/06/01,24
2018/06/02,18
2018/06/03,21
2018/06/04,20
2018/06/05,21
2018/06/06,15
2018/06/07,16
2018/06/08,10
2018/06/09,10
2018/06/10,16
2018/06/11,26
2018/06/12,21
2018/06/13,8
2018/06/14,7
2018/06/15,15
2018/06/16,15
2018/06/17,18
2018/06/18,18
2018/06/19,19
2018/06/20,21
2018/06/21,23
2018/06/22,13
2018/06/23,12
2018/06/24,13
2018/06/25,16
2018/06/26,12
2018/06/27,16
2018/06/28,13
2018/06/29,14
2018/06/30,13
2018/07/01,20
2018/07/02,20
2018/07/03,20
2018/07/04,16
2018/07/05,8
2018/07/06,8
2018/07/07,8
2018/07/08,12
2018/07/09,16
2018/07/10,19
2018/07/11,13
2018/07/12,18
2018/07/13,23
2018/07/14,19
2018/07/15,14
2018/07/16,10
2018/07/17,10
2018/07/18,14
2018/07/19,20
2018/07/20,20
2018/07/21,2
2018/07/22,7
2018/07/23,13
2018/07/24,14
2018/07/25,20
2018/07/26,22
2018/07/27,15
2018/07/28,15
2018/07/29,13
2018/07/30,-999
2018/07/31,-999
2018/08/01,-999
2018/08/02,13
2018/08/03,-999
2018/08/04,11
2018/08/05,12
2018/08/06,23
2018/08/07,-999
2018/08/08,16
2018/08/09,14
2018/08/10,-999
2018/08/11,16
2018/08/12,15
2018/08/13,12
2018/08/14,8
2018/08/15,8
2018/08/16,11
2018/08/17,12
2018/08/18,12
2018/08/19,10
2018/08/20,10
2018/08/21,13
2018/08/22,13
2018/08/23,17
2018/08/24,14
2018/08/25,7
2018/08/26,3
2018/08/27,7
2018/08/28,8
2018/08/29,15
2018/08/30,21
2018/08/31,7
2018/09/01,3
2018/09/02,4
2018/09/03,7
2018/09/04,9
2018/09/05,13
2018/09/06,16
2018/09/07,-999
2018/09/08,13
2018/09/09,15
2018/09/10,-999
2018/09/11,21
2018/09/12,26
2018/09/13,26
2018/09/14,15
2018/09/15,20
2018/09/16,21
2018/09/17,22
2018/09/18,14
2018/09/19,17
2018/09/20,19
2018/09/21,22
2018/09/22,23
2018/09/23,23
2018/09/24,11
2018/09/25,13
2018/09/26,14
2018/09/27,20
2018/09/28,17
2018/09/29,16
2018/09/30,20
2018/10/01,10
2018/10/02,9
2018/10/03,20
2018/10/04,14
2018/10/05,25
2018/10/06,-999
2018/10/07,17
2018/10/08,20
2018/10/09,39
2018/10/10,39
2018/10/11,26
2018/10/12,16
2018/10/13,29
2018/10/14,43
2018/10/15,35
2018/10/16,30
2018/10/17,31
2018/10/18,24
2018/10/19,30
2018/10/20,43
2018/10/21,39
2018/10/22,21
2018/10/23,17
2018/10/24,-999
2018/10/25,38
2018/10/26,40
2018/10/27,18
2018/10/28,8
2018/10/29,14
2018/10/30,5
2018/10/31,8
2018/11/01,11
2018/11/02,15
2018/11/03,11
2018/11/04,16
2018/11/05,14
2018/11/06,13
2018/11/07,10
2018/11/08,10
2018/11/09,11
2018/11/10,20
2018/11/11,16
2018/11/12,15
2018/11/13,15
2018/11/14,24
2018/11/15,26
2018/11/16,28
2018/11/17,21
2018/11/18,23
2018/11/19,27
2018/11/20,21
2018/11/21,13
2018/11/22,19
2018/11/23,17
2018/11/24,9
2018/11/25,15
2018/11/26,12
2018/11/27,3
2018/11/28,12
2018/11/29,39
2018/11/30,69
2018/12/01,54
2018/12/02,43
2018/12/03,51
2018/12/04,18
2018/12/05,23
2018/12/06,49
2018/12/07,46
2018/12/08,10
2018/12/09,5
2018/12/10,3
2018/12/11,6
2018/12/12,18
2018/12/13,21
2018/12/14,27
2018/12/15,41
2018/12/16,58
2018/12/17,65
2018/12/18,45
2018/12/19,49
2018/12/20,23
2018/12/21,19
2018/12/22,16
2018/12/23,37
2018/12/24,37
2018/12/25,19
2018/12/26,25
2018/12/27,24
2018/12/28,30
2018/12/29,31
2018/12/30,14
2018/12/31,27
