Stazione, Lodi - S. Alberto
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2018/01/01,43
2018/01/02,33
2018/01/03,35
2018/01/04,31
2018/01/05,57
2018/01/06,49
2018/01/07,36
2018/01/08,25
2018/01/09,34
2018/01/10,30
2018/01/11,41
2018/01/12,38
2018/01/13,44
2018/01/14,41
2018/01/15,53
2018/01/16,56
2018/01/17,33
2018/01/18,36
2018/01/19,38
2018/01/20,60
2018/01/21,30
2018/01/22,43
2018/01/23,60
2018/01/24,63
2018/01/25,74
2018/01/26,90
2018/01/27,39
2018/01/28,27
2018/01/29,17
2018/01/30,23
2018/01/31,39
2018/02/01,33
2018/02/02,34
2018/02/03,25
2018/02/04,28
2018/02/05,23
2018/02/06,24
2018/02/07,28
2018/02/08,35
2018/02/09,43
2018/02/10,43
2018/02/11,50
2018/02/12,38
2018/02/13,22
2018/02/14,36
2018/02/15,53
2018/02/16,70
2018/02/17,79
2018/02/18,36
2018/02/19,23
2018/02/20,46
2018/02/21,41
2018/02/22,25
2018/02/23,21
2018/02/24,30
2018/02/25,19
2018/02/26,20
2018/02/27,30
2018/02/28,45
2018/03/01,56
2018/03/02,72
2018/03/03,61
2018/03/04,39
2018/03/05,48
2018/03/06,48
2018/03/07,43
2018/03/08,38
2018/03/09,44
2018/03/10,24
2018/03/11,20
2018/03/12,24
2018/03/13,34
2018/03/14,19
2018/03/15,25
2018/03/16,19
2018/03/17,17
2018/03/18,7
2018/03/19,7
2018/03/20,22
2018/03/21,22
2018/03/22,28
2018/03/23,37
2018/03/24,33
2018/03/25,26
2018/03/26,52
2018/03/27,55
2018/03/28,46
2018/03/29,55
2018/03/30,36
2018/03/31,11
2018/04/01,7
2018/04/02,12
2018/04/03,25
2018/04/04,18
2018/04/05,-999
2018/04/06,-999
2018/04/07,-999
2018/04/08,25
2018/04/09,20
2018/04/10,16
2018/04/11,17
2018/04/12,14
2018/04/13,14
2018/04/14,21
2018/04/15,25
2018/04/16,26
2018/04/17,52
2018/04/18,35
2018/04/19,38
2018/04/20,44
2018/04/21,39
2018/04/22,28
2018/04/23,34
2018/04/24,40
2018/04/25,31
2018/04/26,31
2018/04/27,28
2018/04/28,39
2018/04/29,33
2018/04/30,13
2018/05/01,14
2018/05/02,13
2018/05/03,21
2018/05/04,27
2018/05/05,27
2018/05/06,28
2018/05/07,28
2018/05/08,22
2018/05/09,16
2018/05/10,20
2018/05/11,30
2018/05/12,20
2018/05/13,17
2018/05/14,6
2018/05/15,9
2018/05/16,15
2018/05/17,18
2018/05/18,24
2018/05/19,22
2018/05/20,17
2018/05/21,17
2018/05/22,22
2018/05/23,23
2018/05/24,20
2018/05/25,22
2018/05/26,41
2018/05/27,32
2018/05/28,21
2018/05/29,24
2018/05/30,37
2018/05/31,28
2018/06/01,19
2018/06/02,18
2018/06/03,21
2018/06/04,22
2018/06/05,21
2018/06/06,18
2018/06/07,17
2018/06/08,15
2018/06/09,14
2018/06/10,17
2018/06/11,32
2018/06/12,26
2018/06/13,16
2018/06/14,13
2018/06/15,15
2018/06/16,22
2018/06/17,24
2018/06/18,16
2018/06/19,21
2018/06/20,24
2018/06/21,27
2018/06/22,20
2018/06/23,14
2018/06/24,16
2018/06/25,14
2018/06/26,13
2018/06/27,22
2018/06/28,12
2018/06/29,21
2018/06/30,19
2018/07/01,24
2018/07/02,22
2018/07/03,23
2018/07/04,13
2018/07/05,-999
2018/07/06,16
2018/07/07,18
2018/07/08,17
2018/07/09,21
2018/07/10,22
2018/07/11,17
2018/07/12,26
2018/07/13,26
2018/07/14,30
2018/07/15,23
2018/07/16,15
2018/07/17,20
2018/07/18,22
2018/07/19,20
2018/07/20,23
2018/07/21,11
2018/07/22,14
2018/07/23,13
2018/07/24,16
2018/07/25,20
2018/07/26,30
2018/07/27,20
2018/07/28,22
2018/07/29,18
2018/07/30,24
2018/07/31,33
2018/08/01,27
2018/08/02,21
2018/08/03,22
2018/08/04,19
2018/08/05,19
2018/08/06,29
2018/08/07,19
2018/08/08,22
2018/08/09,23
2018/08/10,24
2018/08/11,19
2018/08/12,19
2018/08/13,20
2018/08/14,19
2018/08/15,11
2018/08/16,19
2018/08/17,20
2018/08/18,26
2018/08/19,21
2018/08/20,23
2018/08/21,28
2018/08/22,29
2018/08/23,32
2018/08/24,22
2018/08/25,17
2018/08/26,10
2018/08/27,14
2018/08/28,27
2018/08/29,24
2018/08/30,29
2018/08/31,16
2018/09/01,12
2018/09/02,11
2018/09/03,15
2018/09/04,17
2018/09/05,19
2018/09/06,30
2018/09/07,21
2018/09/08,26
2018/09/09,26
2018/09/10,31
2018/09/11,45
2018/09/12,50
2018/09/13,44
2018/09/14,30
2018/09/15,34
2018/09/16,36
2018/09/17,31
2018/09/18,39
2018/09/19,46
2018/09/20,46
2018/09/21,48
2018/09/22,36
2018/09/23,-999
2018/09/24,-999
2018/09/25,-999
2018/09/26,-999
2018/09/27,-999
2018/09/28,-999
2018/09/29,31
2018/09/30,24
2018/10/01,20
2018/10/02,18
2018/10/03,30
2018/10/04,39
2018/10/05,31
2018/10/06,48
2018/10/07,37
2018/10/08,48
2018/10/09,53
2018/10/10,50
2018/10/11,43
2018/10/12,41
2018/10/13,48
2018/10/14,55
2018/10/15,57
2018/10/16,46
2018/10/17,49
2018/10/18,56
2018/10/19,56
2018/10/20,67
2018/10/21,54
2018/10/22,26
2018/10/23,38
2018/10/24,31
2018/10/25,68
2018/10/26,38
2018/10/27,25
2018/10/28,14
2018/10/29,15
2018/10/30,8
2018/10/31,16
2018/11/01,14
2018/11/02,24
2018/11/03,19
2018/11/04,22
2018/11/05,17
2018/11/06,21
2018/11/07,21
2018/11/08,19
2018/11/09,38
2018/11/10,36
2018/11/11,33
2018/11/12,33
2018/11/13,35
2018/11/14,38
2018/11/15,48
2018/11/16,27
2018/11/17,25
2018/11/18,25
2018/11/19,27
2018/11/20,19
2018/11/21,-999
2018/11/22,35
2018/11/23,37
2018/11/24,18
2018/11/25,26
2018/11/26,27
2018/11/27,39
2018/11/28,31
2018/11/29,38
2018/11/30,60
2018/12/01,60
2018/12/02,65
2018/12/03,71
2018/12/04,73
2018/12/05,60
2018/12/06,76
2018/12/07,68
2018/12/08,30
2018/12/09,30
2018/12/10,8
2018/12/11,23
2018/12/12,36
2018/12/13,40
2018/12/14,43
2018/12/15,69
2018/12/16,76
2018/12/17,65
2018/12/18,42
2018/12/19,48
2018/12/20,-999
2018/12/21,36
2018/12/22,40
2018/12/23,34
2018/12/24,23
2018/12/25,27
2018/12/26,27
2018/12/27,42
2018/12/28,66
2018/12/29,72
2018/12/30,69
2018/12/31,62
