Stazione, Mantova - p.zza Gramsci
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2018/01/01,57
2018/01/02,30
2018/01/03,38
2018/01/04,45
2018/01/05,50
2018/01/06,66
2018/01/07,52
2018/01/08,27
2018/01/09,33
2018/01/10,31
2018/01/11,39
2018/01/12,33
2018/01/13,49
2018/01/14,46
2018/01/15,50
2018/01/16,56
2018/01/17,46
2018/01/18,21
2018/01/19,49
2018/01/20,59
2018/01/21,50
2018/01/22,34
2018/01/23,58
2018/01/24,65
2018/01/25,80
2018/01/26,99
2018/01/27,82
2018/01/28,45
2018/01/29,37
2018/01/30,37
2018/01/31,51
2018/02/01,40
2018/02/02,18
2018/02/03,9
2018/02/04,19
2018/02/05,21
2018/02/06,25
2018/02/07,29
2018/02/08,45
2018/02/09,50
2018/02/10,61
2018/02/11,38
2018/02/12,37
2018/02/13,22
2018/02/14,37
2018/02/15,51
2018/02/16,69
2018/02/17,72
2018/02/18,44
2018/02/19,19
2018/02/20,34
2018/02/21,35
2018/02/22,15
2018/02/23,16
2018/02/24,27
2018/02/25,27
2018/02/26,18
2018/02/27,28
2018/02/28,51
2018/03/01,63
2018/03/02,85
2018/03/03,65
2018/03/04,40
2018/03/05,53
2018/03/06,58
2018/03/07,41
2018/03/08,34
2018/03/09,42
2018/03/10,45
2018/03/11,26
2018/03/12,20
2018/03/13,43
2018/03/14,39
2018/03/15,31
2018/03/16,16
2018/03/17,21
2018/03/18,5
2018/03/19,9
2018/03/20,29
2018/03/21,25
2018/03/22,22
2018/03/23,36
2018/03/24,22
2018/03/25,23
2018/03/26,48
2018/03/27,42
2018/03/28,42
2018/03/29,51
2018/03/30,35
2018/03/31,14
2018/04/01,15
2018/04/02,17
2018/04/03,31
2018/04/04,21
2018/04/05,25
2018/04/06,39
2018/04/07,26
2018/04/08,17
2018/04/09,26
2018/04/10,19
2018/04/11,19
2018/04/12,22
2018/04/13,14
2018/04/14,24
2018/04/15,30
2018/04/16,26
2018/04/17,39
2018/04/18,22
2018/04/19,25
2018/04/20,30
2018/04/21,30
2018/04/22,18
2018/04/23,30
2018/04/24,33
2018/04/25,35
2018/04/26,34
2018/04/27,22
2018/04/28,27
2018/04/29,27
2018/04/30,14
2018/05/01,12
2018/05/02,12
2018/05/03,27
2018/05/04,25
2018/05/05,20
2018/05/06,21
2018/05/07,22
2018/05/08,32
2018/05/09,15
2018/05/10,13
2018/05/11,19
2018/05/12,19
2018/05/13,19
2018/05/14,7
2018/05/15,8
2018/05/16,22
2018/05/17,15
2018/05/18,22
2018/05/19,15
2018/05/20,14
2018/05/21,16
2018/05/22,21
2018/05/23,18
2018/05/24,24
2018/05/25,27
2018/05/26,22
2018/05/27,23
2018/05/28,27
2018/05/29,31
2018/05/30,38
2018/05/31,27
2018/06/01,25
2018/06/02,24
2018/06/03,24
2018/06/04,30
2018/06/05,32
2018/06/06,28
2018/06/07,20
2018/06/08,10
2018/06/09,18
2018/06/10,18
2018/06/11,33
2018/06/12,36
2018/06/13,12
2018/06/14,11
2018/06/15,12
2018/06/16,18
2018/06/17,23
2018/06/18,18
2018/06/19,17
2018/06/20,20
2018/06/21,29
2018/06/22,17
2018/06/23,13
2018/06/24,13
2018/06/25,12
2018/06/26,10
2018/06/27,17
2018/06/28,15
2018/06/29,11
2018/06/30,-999
2018/07/01,-999
2018/07/02,-999
2018/07/03,-999
2018/07/04,12
2018/07/05,16
2018/07/06,14
2018/07/07,11
2018/07/08,12
2018/07/09,14
2018/07/10,17
2018/07/11,15
2018/07/12,21
2018/07/13,22
2018/07/14,23
2018/07/15,14
2018/07/16,13
2018/07/17,20
2018/07/18,24
2018/07/19,21
2018/07/20,28
2018/07/21,13
2018/07/22,15
2018/07/23,9
2018/07/24,15
2018/07/25,22
2018/07/26,27
2018/07/27,19
2018/07/28,29
2018/07/29,21
2018/07/30,28
2018/07/31,30
2018/08/01,34
2018/08/02,18
2018/08/03,20
2018/08/04,22
2018/08/05,19
2018/08/06,25
2018/08/07,27
2018/08/08,37
2018/08/09,27
2018/08/10,18
2018/08/11,21
2018/08/12,16
2018/08/13,22
2018/08/14,19
2018/08/15,9
2018/08/16,12
2018/08/17,17
2018/08/18,21
2018/08/19,22
2018/08/20,22
2018/08/21,26
2018/08/22,30
2018/08/23,32
2018/08/24,34
2018/08/25,14
2018/08/26,5
2018/08/27,9
2018/08/28,19
2018/08/29,19
2018/08/30,23
2018/08/31,20
2018/09/01,9
2018/09/02,7
2018/09/03,11
2018/09/04,16
2018/09/05,28
2018/09/06,32
2018/09/07,17
2018/09/08,19
2018/09/09,22
2018/09/10,28
2018/09/11,41
2018/09/12,48
2018/09/13,47
2018/09/14,50
2018/09/15,30
2018/09/16,30
2018/09/17,29
2018/09/18,24
2018/09/19,31
2018/09/20,36
2018/09/21,39
2018/09/22,44
2018/09/23,22
2018/09/24,24
2018/09/25,14
2018/09/26,17
2018/09/27,43
2018/09/28,58
2018/09/29,25
2018/09/30,19
2018/10/01,22
2018/10/02,15
2018/10/03,22
2018/10/04,25
2018/10/05,21
2018/10/06,29
2018/10/07,34
2018/10/08,39
2018/10/09,38
2018/10/10,41
2018/10/11,36
2018/10/12,53
2018/10/13,49
2018/10/14,42
2018/10/15,45
2018/10/16,44
2018/10/17,49
2018/10/18,46
2018/10/19,48
2018/10/20,54
2018/10/21,40
2018/10/22,16
2018/10/23,34
2018/10/24,44
2018/10/25,45
2018/10/26,28
2018/10/27,20
2018/10/28,13
2018/10/29,-999
2018/10/30,-999
2018/10/31,16
2018/11/01,13
2018/11/02,15
2018/11/03,22
2018/11/04,16
2018/11/05,15
2018/11/06,14
2018/11/07,24
2018/11/08,27
2018/11/09,36
2018/11/10,30
2018/11/11,26
2018/11/12,41
2018/11/13,29
2018/11/14,37
2018/11/15,25
2018/11/16,16
2018/11/17,-999
2018/11/18,26
2018/11/19,27
2018/11/20,20
2018/11/21,35
2018/11/22,36
2018/11/23,43
2018/11/24,9
2018/11/25,-999
2018/11/26,-999
2018/11/27,43
2018/11/28,47
2018/11/29,34
2018/11/30,43
2018/12/01,70
2018/12/02,-999
2018/12/03,-999
2018/12/04,-999
2018/12/05,58
2018/12/06,47
2018/12/07,51
2018/12/08,42
2018/12/09,31
2018/12/10,-999
2018/12/11,-999
2018/12/12,34
2018/12/13,32
2018/12/14,35
2018/12/15,56
2018/12/16,-999
2018/12/17,-999
2018/12/18,51
2018/12/19,40
2018/12/20,35
2018/12/21,42
2018/12/22,44
2018/12/23,46
2018/12/24,25
2018/12/25,19
2018/12/26,29
2018/12/27,29
2018/12/28,57
2018/12/29,73
2018/12/30,69
2018/12/31,69
