Stazione, Pavia - via Folperti
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2018/01/01,54
2018/01/02,34
2018/01/03,32
2018/01/04,38
2018/01/05,62
2018/01/06,38
2018/01/07,37
2018/01/08,28
2018/01/09,23
2018/01/10,30
2018/01/11,46
2018/01/12,33
2018/01/13,45
2018/01/14,47
2018/01/15,63
2018/01/16,59
2018/01/17,29
2018/01/18,33
2018/01/19,38
2018/01/20,51
2018/01/21,37
2018/01/22,54
2018/01/23,64
2018/01/24,70
2018/01/25,89
2018/01/26,90
2018/01/27,-999
2018/01/28,24
2018/01/29,24
2018/01/30,24
2018/01/31,33
2018/02/01,44
2018/02/02,37
2018/02/03,18
2018/02/04,47
2018/02/05,31
2018/02/06,24
2018/02/07,29
2018/02/08,33
2018/02/09,32
2018/02/10,41
2018/02/11,51
2018/02/12,49
2018/02/13,16
2018/02/14,39
2018/02/15,53
2018/02/16,78
2018/02/17,91
2018/02/18,45
2018/02/19,22
2018/02/20,45
2018/02/21,39
2018/02/22,30
2018/02/23,18
2018/02/24,28
2018/02/25,23
2018/02/26,28
2018/02/27,35
2018/02/28,50
2018/03/01,71
2018/03/02,74
2018/03/03,72
2018/03/04,35
2018/03/05,68
2018/03/06,39
2018/03/07,56
2018/03/08,50
2018/03/09,37
2018/03/10,21
2018/03/11,24
2018/03/12,24
2018/03/13,32
2018/03/14,19
2018/03/15,28
2018/03/16,21
2018/03/17,17
2018/03/18,-999
2018/03/19,3
2018/03/20,28
2018/03/21,20
2018/03/22,52
2018/03/23,43
2018/03/24,38
2018/03/25,30
2018/03/26,49
2018/03/27,44
2018/03/28,54
2018/03/29,58
2018/03/30,40
2018/03/31,5
2018/04/01,1
2018/04/02,14
2018/04/03,21
2018/04/04,19
2018/04/05,23
2018/04/06,32
2018/04/07,42
2018/04/08,27
2018/04/09,17
2018/04/10,14
2018/04/11,22
2018/04/12,7
2018/04/13,16
2018/04/14,23
2018/04/15,21
2018/04/16,23
2018/04/17,46
2018/04/18,37
2018/04/19,39
2018/04/20,41
2018/04/21,34
2018/04/22,32
2018/04/23,36
2018/04/24,33
2018/04/25,27
2018/04/26,26
2018/04/27,32
2018/04/28,33
2018/04/29,32
2018/04/30,8
2018/05/01,13
2018/05/02,10
2018/05/03,18
2018/05/04,27
2018/05/05,22
2018/05/06,20
2018/05/07,19
2018/05/08,20
2018/05/09,14
2018/05/10,19
2018/05/11,23
2018/05/12,22
2018/05/13,16
2018/05/14,4
2018/05/15,18
2018/05/16,14
2018/05/17,21
2018/05/18,27
2018/05/19,27
2018/05/20,17
2018/05/21,11
2018/05/22,20
2018/05/23,22
2018/05/24,-999
2018/05/25,16
2018/05/26,33
2018/05/27,27
2018/05/28,20
2018/05/29,-999
2018/05/30,-999
2018/05/31,-999
2018/06/01,-999
2018/06/02,-999
2018/06/03,-999
2018/06/04,-999
2018/06/05,18
2018/06/06,17
2018/06/07,17
2018/06/08,19
2018/06/09,11
2018/06/10,17
2018/06/11,29
2018/06/12,20
2018/06/13,18
2018/06/14,8
2018/06/15,15
2018/06/16,26
2018/06/17,17
2018/06/18,15
2018/06/19,30
2018/06/20,16
2018/06/21,28
2018/06/22,16
2018/06/23,6
2018/06/24,14
2018/06/25,16
2018/06/26,9
2018/06/27,22
2018/06/28,13
2018/06/29,20
2018/06/30,15
2018/07/01,24
2018/07/02,22
2018/07/03,25
2018/07/04,-999
2018/07/05,24
2018/07/06,26
2018/07/07,22
2018/07/08,17
2018/07/09,15
2018/07/10,19
2018/07/11,18
2018/07/12,37
2018/07/13,20
2018/07/14,24
2018/07/15,18
2018/07/16,21
2018/07/17,19
2018/07/18,13
2018/07/19,15
2018/07/20,17
2018/07/21,-999
2018/07/22,14
2018/07/23,7
2018/07/24,12
2018/07/25,11
2018/07/26,26
2018/07/27,15
2018/07/28,18
2018/07/29,10
2018/07/30,-999
2018/07/31,35
2018/08/01,-999
2018/08/02,19
2018/08/03,23
2018/08/04,15
2018/08/05,19
2018/08/06,39
2018/08/07,11
2018/08/08,17
2018/08/09,20
2018/08/10,25
2018/08/11,25
2018/08/12,20
2018/08/13,17
2018/08/14,14
2018/08/15,8
2018/08/16,-999
2018/08/17,21
2018/08/18,11
2018/08/19,15
2018/08/20,20
2018/08/21,20
2018/08/22,18
2018/08/23,23
2018/08/24,14
2018/08/25,22
2018/08/26,3
2018/08/27,10
2018/08/28,19
2018/08/29,22
2018/08/30,29
2018/08/31,18
2018/09/01,-999
2018/09/02,-999
2018/09/03,11
2018/09/04,10
2018/09/05,9
2018/09/06,28
2018/09/07,19
2018/09/08,25
2018/09/09,27
2018/09/10,29
2018/09/11,21
2018/09/12,34
2018/09/13,20
2018/09/14,25
2018/09/15,27
2018/09/16,27
2018/09/17,27
2018/09/18,34
2018/09/19,44
2018/09/20,56
2018/09/21,38
2018/09/22,22
2018/09/23,19
2018/09/24,15
2018/09/25,12
2018/09/26,22
2018/09/27,35
2018/09/28,35
2018/09/29,37
2018/09/30,25
2018/10/01,18
2018/10/02,8
2018/10/03,23
2018/10/04,43
2018/10/05,31
2018/10/06,35
2018/10/07,21
2018/10/08,30
2018/10/09,42
2018/10/10,51
2018/10/11,42
2018/10/12,29
2018/10/13,43
2018/10/14,59
2018/10/15,60
2018/10/16,48
2018/10/17,45
2018/10/18,47
2018/10/19,49
2018/10/20,47
2018/10/21,49
2018/10/22,13
2018/10/23,28
2018/10/24,33
2018/10/25,60
2018/10/26,45
2018/10/27,29
2018/10/28,11
2018/10/29,10
2018/10/30,1
2018/10/31,22
2018/11/01,5
2018/11/02,16
2018/11/03,23
2018/11/04,22
2018/11/05,21
2018/11/06,22
2018/11/07,22
2018/11/08,23
2018/11/09,25
2018/11/10,38
2018/11/11,44
2018/11/12,29
2018/11/13,36
2018/11/14,45
2018/11/15,54
2018/11/16,28
2018/11/17,24
2018/11/18,24
2018/11/19,30
2018/11/20,21
2018/11/21,28
2018/11/22,31
2018/11/23,39
2018/11/24,16
2018/11/25,28
2018/11/26,24
2018/11/27,37
2018/11/28,27
2018/11/29,43
2018/11/30,50
2018/12/01,60
2018/12/02,71
2018/12/03,69
2018/12/04,66
2018/12/05,61
2018/12/06,88
2018/12/07,53
2018/12/08,37
2018/12/09,30
2018/12/10,7
2018/12/11,22
2018/12/12,37
2018/12/13,33
2018/12/14,38
2018/12/15,65
2018/12/16,66
2018/12/17,67
2018/12/18,61
2018/12/19,46
2018/12/20,37
2018/12/21,36
2018/12/22,40
2018/12/23,17
2018/12/24,23
2018/12/25,21
2018/12/26,27
2018/12/27,50
2018/12/28,71
2018/12/29,68
2018/12/30,-999
2018/12/31,43
