Stazione, Sondrio - via Mazzini
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2018/01/01,44
2018/01/02,29
2018/01/03,22
2018/01/04,24
2018/01/05,31
2018/01/06,51
2018/01/07,46
2018/01/08,35
2018/01/09,24
2018/01/10,28
2018/01/11,35
2018/01/12,49
2018/01/13,47
2018/01/14,42
2018/01/15,43
2018/01/16,30
2018/01/17,21
2018/01/18,32
2018/01/19,46
2018/01/20,33
2018/01/21,15
2018/01/22,25
2018/01/23,44
2018/01/24,54
2018/01/25,53
2018/01/26,66
2018/01/27,47
2018/01/28,29
2018/01/29,38
2018/01/30,37
2018/01/31,48
2018/02/01,42
2018/02/02,6
2018/02/03,15
2018/02/04,20
2018/02/05,37
2018/02/06,41
2018/02/07,35
2018/02/08,32
2018/02/09,31
2018/02/10,26
2018/02/11,21
2018/02/12,23
2018/02/13,19
2018/02/14,24
2018/02/15,33
2018/02/16,37
2018/02/17,71
2018/02/18,42
2018/02/19,21
2018/02/20,35
2018/02/21,35
2018/02/22,34
2018/02/23,58
2018/02/24,53
2018/02/25,22
2018/02/26,16
2018/02/27,21
2018/02/28,33
2018/03/01,58
2018/03/02,55
2018/03/03,34
2018/03/04,25
2018/03/05,37
2018/03/06,41
2018/03/07,33
2018/03/08,16
2018/03/09,28
2018/03/10,45
2018/03/11,22
2018/03/12,4
2018/03/13,12
2018/03/14,13
2018/03/15,28
2018/03/16,11
2018/03/17,11
2018/03/18,8
2018/03/19,18
2018/03/20,19
2018/03/21,22
2018/03/22,22
2018/03/23,17
2018/03/24,30
2018/03/25,31
2018/03/26,26
2018/03/27,17
2018/03/28,35
2018/03/29,36
2018/03/30,-999
2018/03/31,4
2018/04/01,4
2018/04/02,11
2018/04/03,29
2018/04/04,18
2018/04/05,10
2018/04/06,10
2018/04/07,22
2018/04/08,27
2018/04/09,26
2018/04/10,12
2018/04/11,5
2018/04/12,6
2018/04/13,8
2018/04/14,9
2018/04/15,16
2018/04/16,11
2018/04/17,11
2018/04/18,17
2018/04/19,24
2018/04/20,21
2018/04/21,18
2018/04/22,19
2018/04/23,21
2018/04/24,22
2018/04/25,24
2018/04/26,26
2018/04/27,23
2018/04/28,20
2018/04/29,13
2018/04/30,8
2018/05/01,10
2018/05/02,11
2018/05/03,19
2018/05/04,18
2018/05/05,18
2018/05/06,23
2018/05/07,15
2018/05/08,14
2018/05/09,11
2018/05/10,10
2018/05/11,13
2018/05/12,13
2018/05/13,10
2018/05/14,5
2018/05/15,12
2018/05/16,12
2018/05/17,11
2018/05/18,13
2018/05/19,7
2018/05/20,10
2018/05/21,10
2018/05/22,16
2018/05/23,14
2018/05/24,11
2018/05/25,-999
2018/05/26,22
2018/05/27,17
2018/05/28,10
2018/05/29,14
2018/05/30,18
2018/05/31,20
2018/06/01,23
2018/06/02,20
2018/06/03,14
2018/06/04,15
2018/06/05,15
2018/06/06,11
2018/06/07,14
2018/06/08,10
2018/06/09,12
2018/06/10,14
2018/06/11,17
2018/06/12,20
2018/06/13,8
2018/06/14,9
2018/06/15,13
2018/06/16,17
2018/06/17,17
2018/06/18,15
2018/06/19,15
2018/06/20,23
2018/06/21,23
2018/06/22,11
2018/06/23,11
2018/06/24,13
2018/06/25,15
2018/06/26,13
2018/06/27,9
2018/06/28,11
2018/06/29,8
2018/06/30,12
2018/07/01,19
2018/07/02,21
2018/07/03,19
2018/07/04,14
2018/07/05,10
2018/07/06,6
2018/07/07,7
2018/07/08,10
2018/07/09,16
2018/07/10,15
2018/07/11,12
2018/07/12,14
2018/07/13,16
2018/07/14,13
2018/07/15,11
2018/07/16,9
2018/07/17,11
2018/07/18,11
2018/07/19,15
2018/07/20,18
2018/07/21,5
2018/07/22,6
2018/07/23,10
2018/07/24,14
2018/07/25,19
2018/07/26,22
2018/07/27,13
2018/07/28,16
2018/07/29,12
2018/07/30,16
2018/07/31,17
2018/08/01,19
2018/08/02,12
2018/08/03,14
2018/08/04,13
2018/08/05,16
2018/08/06,14
2018/08/07,10
2018/08/08,17
2018/08/09,15
2018/08/10,14
2018/08/11,15
2018/08/12,12
2018/08/13,11
2018/08/14,8
2018/08/15,8
2018/08/16,10
2018/08/17,13
2018/08/18,11
2018/08/19,10
2018/08/20,9
2018/08/21,12
2018/08/22,13
2018/08/23,12
2018/08/24,10
2018/08/25,6
2018/08/26,5
2018/08/27,9
2018/08/28,15
2018/08/29,14
2018/08/30,18
2018/08/31,9
2018/09/01,5
2018/09/02,6
2018/09/03,8
2018/09/04,10
2018/09/05,12
2018/09/06,14
2018/09/07,11
2018/09/08,13
2018/09/09,14
2018/09/10,20
2018/09/11,18
2018/09/12,18
2018/09/13,19
2018/09/14,12
2018/09/15,14
2018/09/16,22
2018/09/17,23
2018/09/18,22
2018/09/19,14
2018/09/20,16
2018/09/21,21
2018/09/22,20
2018/09/23,18
2018/09/24,13
2018/09/25,15
2018/09/26,19
2018/09/27,19
2018/09/28,12
2018/09/29,10
2018/09/30,14
2018/10/01,14
2018/10/02,6
2018/10/03,11
2018/10/04,14
2018/10/05,17
2018/10/06,29
2018/10/07,13
2018/10/08,14
2018/10/09,-999
2018/10/10,25
2018/10/11,32
2018/10/12,22
2018/10/13,18
2018/10/14,22
2018/10/15,28
2018/10/16,30
2018/10/17,30
2018/10/18,24
2018/10/19,18
2018/10/20,21
2018/10/21,17
2018/10/22,23
2018/10/23,22
2018/10/24,17
2018/10/25,20
2018/10/26,34
2018/10/27,18
2018/10/28,6
2018/10/29,11
2018/10/30,-999
2018/10/31,-999
2018/11/01,15
2018/11/02,22
2018/11/03,21
2018/11/04,23
2018/11/05,22
2018/11/06,20
2018/11/07,18
2018/11/08,14
2018/11/09,22
2018/11/10,22
2018/11/11,20
2018/11/12,25
2018/11/13,25
2018/11/14,23
2018/11/15,24
2018/11/16,25
2018/11/17,31
2018/11/18,26
2018/11/19,26
2018/11/20,24
2018/11/21,20
2018/11/22,28
2018/11/23,31
2018/11/24,18
2018/11/25,12
2018/11/26,19
2018/11/27,29
2018/11/28,35
2018/11/29,39
2018/11/30,51
2018/12/01,44
2018/12/02,35
2018/12/03,35
2018/12/04,28
2018/12/05,36
2018/12/06,40
2018/12/07,33
2018/12/08,24
2018/12/09,22
2018/12/10,14
2018/12/11,29
2018/12/12,35
2018/12/13,34
2018/12/14,40
2018/12/15,38
2018/12/16,46
2018/12/17,62
2018/12/18,41
2018/12/19,47
2018/12/20,41
2018/12/21,32
2018/12/22,29
2018/12/23,34
2018/12/24,36
2018/12/25,34
2018/12/26,36
2018/12/27,53
2018/12/28,58
2018/12/29,41
2018/12/30,17
2018/12/31,38
