Stazione, Varese - via Copelli
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2018/01/01,41
2018/01/02,26
2018/01/03,13
2018/01/04,12
2018/01/05,34
2018/01/06,31
2018/01/07,26
2018/01/08,25
2018/01/09,20
2018/01/10,18
2018/01/11,21
2018/01/12,32
2018/01/13,26
2018/01/14,37
2018/01/15,59
2018/01/16,54
2018/01/17,26
2018/01/18,16
2018/01/19,20
2018/01/20,19
2018/01/21,10
2018/01/22,24
2018/01/23,51
2018/01/24,65
2018/01/25,67
2018/01/26,51
2018/01/27,18
2018/01/28,24
2018/01/29,37
2018/01/30,44
2018/01/31,73
2018/02/01,34
2018/02/02,20
2018/02/03,22
2018/02/04,28
2018/02/05,27
2018/02/06,24
2018/02/07,29
2018/02/08,36
2018/02/09,37
2018/02/10,31
2018/02/11,39
2018/02/12,44
2018/02/13,17
2018/02/14,25
2018/02/15,50
2018/02/16,50
2018/02/17,85
2018/02/18,66
2018/02/19,31
2018/02/20,53
2018/02/21,43
2018/02/22,43
2018/02/23,29
2018/02/24,37
2018/02/25,28
2018/02/26,32
2018/02/27,33
2018/02/28,46
2018/03/01,70
2018/03/02,63
2018/03/03,25
2018/03/04,37
2018/03/05,43
2018/03/06,44
2018/03/07,35
2018/03/08,24
2018/03/09,33
2018/03/10,19
2018/03/11,16
2018/03/12,23
2018/03/13,31
2018/03/14,16
2018/03/15,18
2018/03/16,15
2018/03/17,17
2018/03/18,14
2018/03/19,21
2018/03/20,24
2018/03/21,30
2018/03/22,41
2018/03/23,36
2018/03/24,31
2018/03/25,34
2018/03/26,40
2018/03/27,18
2018/03/28,33
2018/03/29,47
2018/03/30,26
2018/03/31,21
2018/04/01,4
2018/04/02,14
2018/04/03,18
2018/04/04,18
2018/04/05,18
2018/04/06,22
2018/04/07,43
2018/04/08,33
2018/04/09,16
2018/04/10,13
2018/04/11,10
2018/04/12,11
2018/04/13,9
2018/04/14,16
2018/04/15,16
2018/04/16,21
2018/04/17,27
2018/04/18,35
2018/04/19,41
2018/04/20,28
2018/04/21,29
2018/04/22,27
2018/04/23,33
2018/04/24,30
2018/04/25,30
2018/04/26,34
2018/04/27,24
2018/04/28,28
2018/04/29,28
2018/04/30,14
2018/05/01,15
2018/05/02,12
2018/05/03,18
2018/05/04,26
2018/05/05,26
2018/05/06,27
2018/05/07,14
2018/05/08,16
2018/05/09,17
2018/05/10,14
2018/05/11,16
2018/05/12,15
2018/05/13,14
2018/05/14,9
2018/05/15,12
2018/05/16,16
2018/05/17,17
2018/05/18,19
2018/05/19,16
2018/05/20,11
2018/05/21,13
2018/05/22,22
2018/05/23,18
2018/05/24,15
2018/05/25,11
2018/05/26,24
2018/05/27,25
2018/05/28,19
2018/05/29,21
2018/05/30,27
2018/05/31,23
2018/06/01,22
2018/06/02,25
2018/06/03,25
2018/06/04,21
2018/06/05,16
2018/06/06,18
2018/06/07,14
2018/06/08,10
2018/06/09,11
2018/06/10,21
2018/06/11,32
2018/06/12,22
2018/06/13,5
2018/06/14,2
2018/06/15,13
2018/06/16,17
2018/06/17,20
2018/06/18,14
2018/06/19,19
2018/06/20,21
2018/06/21,20
2018/06/22,13
2018/06/23,14
2018/06/24,15
2018/06/25,18
2018/06/26,12
2018/06/27,13
2018/06/28,7
2018/06/29,10
2018/06/30,15
2018/07/01,21
2018/07/02,25
2018/07/03,22
2018/07/04,15
2018/07/05,8
2018/07/06,7
2018/07/07,1
2018/07/08,12
2018/07/09,15
2018/07/10,24
2018/07/11,18
2018/07/12,35
2018/07/13,23
2018/07/14,22
2018/07/15,15
2018/07/16,11
2018/07/17,5
2018/07/18,12
2018/07/19,13
2018/07/20,25
2018/07/21,9
2018/07/22,6
2018/07/23,12
2018/07/24,14
2018/07/25,18
2018/07/26,29
2018/07/27,17
2018/07/28,20
2018/07/29,12
2018/07/30,17
2018/07/31,16
2018/08/01,20
2018/08/02,19
2018/08/03,25
2018/08/04,15
2018/08/05,17
2018/08/06,19
2018/08/07,17
2018/08/08,14
2018/08/09,16
2018/08/10,14
2018/08/11,13
2018/08/12,17
2018/08/13,18
2018/08/14,12
2018/08/15,10
2018/08/16,9
2018/08/17,13
2018/08/18,12
2018/08/19,12
2018/08/20,10
2018/08/21,16
2018/08/22,16
2018/08/23,18
2018/08/24,11
2018/08/25,5
2018/08/26,1
2018/08/27,3
2018/08/28,16
2018/08/29,20
2018/08/30,23
2018/08/31,15
2018/09/01,9
2018/09/02,11
2018/09/03,9
2018/09/04,10
2018/09/05,14
2018/09/06,20
2018/09/07,20
2018/09/08,16
2018/09/09,18
2018/09/10,23
2018/09/11,25
2018/09/12,32
2018/09/13,36
2018/09/14,19
2018/09/15,31
2018/09/16,31
2018/09/17,24
2018/09/18,31
2018/09/19,24
2018/09/20,27
2018/09/21,24
2018/09/22,25
2018/09/23,27
2018/09/24,17
2018/09/25,11
2018/09/26,17
2018/09/27,25
2018/09/28,19
2018/09/29,22
2018/09/30,26
2018/10/01,12
2018/10/02,8
2018/10/03,19
2018/10/04,37
2018/10/05,31
2018/10/06,40
2018/10/07,19
2018/10/08,23
2018/10/09,31
2018/10/10,39
2018/10/11,27
2018/10/12,17
2018/10/13,30
2018/10/14,41
2018/10/15,38
2018/10/16,34
2018/10/17,36
2018/10/18,31
2018/10/19,19
2018/10/20,32
2018/10/21,39
2018/10/22,10
2018/10/23,21
2018/10/24,15
2018/10/25,48
2018/10/26,38
2018/10/27,26
2018/10/28,8
2018/10/29,15
2018/10/30,9
2018/10/31,10
2018/11/01,7
2018/11/02,15
2018/11/03,6
2018/11/04,20
2018/11/05,15
2018/11/06,14
2018/11/07,16
2018/11/08,26
2018/11/09,21
2018/11/10,21
2018/11/11,20
2018/11/12,21
2018/11/13,19
2018/11/14,25
2018/11/15,30
2018/11/16,33
2018/11/17,23
2018/11/18,23
2018/11/19,29
2018/11/20,24
2018/11/21,24
2018/11/22,24
2018/11/23,18
2018/11/24,12
2018/11/25,21
2018/11/26,24
2018/11/27,16
2018/11/28,21
2018/11/29,44
2018/11/30,58
2018/12/01,56
2018/12/02,48
2018/12/03,48
2018/12/04,33
2018/12/05,24
2018/12/06,56
2018/12/07,52
2018/12/08,21
2018/12/09,8
2018/12/10,12
2018/12/11,13
2018/12/12,18
2018/12/13,26
2018/12/14,42
2018/12/15,56
2018/12/16,68
2018/12/17,78
2018/12/18,62
2018/12/19,43
2018/12/20,26
2018/12/21,25
2018/12/22,24
2018/12/23,46
2018/12/24,20
2018/12/25,23
2018/12/26,39
2018/12/27,38
2018/12/28,52
2018/12/29,45
2018/12/30,21
2018/12/31,34
